ad_id;Street;City_Code
204;Städtische Kliniken; Wiesbaden (65201);Städtische Kliniken,  Wiesbaden (65201);
205;Breckenheim - Mitte; Wiesbaden (65207);Breckenheim - Mitte,  Wiesbaden (65207);
206;Nerotal; Wiesbaden (65193);Nerotal,  Wiesbaden (65193);3.4568
207;Kurhausstrasse 8; Wiesbaden (65183);Kurhausstrasse 8,  Wiesbaden (65183);
208;Riederbergstrasse; Wiesbaden (65195);Riederbergstrasse,  Wiesbaden (65195);3.4391
209;Komponistenviertel; Wiesbaden (65193);Komponistenviertel,  Wiesbaden (65193);
210;Kostheim - Mitte; Wiesbaden (55246);Kostheim - Mitte,  Wiesbaden (55246);
211;Sauerland I; Wiesbaden / Dotzheim (65199);Sauerland I,  Wiesbaden / Dotzheim (65199);3.3526
212;Nordenstadt - West; Wiesbaden (65205);Nordenstadt - West,  Wiesbaden (65205);
213;Lessingstrasse; Wiesbaden (65189);Lessingstrasse,  Wiesbaden (65189);3.4546
214;Schierstein - Mitte; Wiesbaden (65201);Schierstein - Mitte,  Wiesbaden (65201);
215;Fanny Lewald Strasse -; Wiesbaden (65197);Fanny Lewald Strasse -,  Wiesbaden (65197);3.392
216;Delkenheim - Sud; Wiesbaden (65205);Delkenheim - Sud,  Wiesbaden (65205);
217;Wolfsfeld; Wiesbaden (65191);Wolfsfeld,  Wiesbaden (65191);3.5446
218;Hessloch - Mitte; Wiesbaden (65207);Hessloch - Mitte,  Wiesbaden (65207);
219;Biebrich - Mitte; Wiesbaden (65203);Biebrich - Mitte,  Wiesbaden (65203);
220;Bierstadter Flur; Wiesbaden / Bierstadt (65191);Bierstadter Flur,  Wiesbaden / Bierstadt (65191);
221;Bierstadt - Mitte; Wiesbaden (65191);Bierstadt - Mitte,  Wiesbaden (65191);
222;Speierlingstrasse 46; Wiesbaden (65191);Speierlingstrasse 46,  Wiesbaden (65191);3.5536
223;Speierlingstrasse 46; Wiesbaden (65191);Speierlingstrasse 46,  Wiesbaden (65191);3.5536
224;Speierlingstrasse 46; Wiesbaden (65191);Speierlingstrasse 46,  Wiesbaden (65191);3.5536
225;Aukammtal; Wiesbaden (65191);Aukammtal,  Wiesbaden (65191);3.5066
226;Siedlung Kostheim; Mainz-Kostheim (55246);Siedlung Kostheim,  Mainz-Kostheim (55246);
227;Siedlung Kostheim; Mainz-Kostheim (55246);Siedlung Kostheim,  Mainz-Kostheim (55246);
228;Siedlung Kostheim; Mainz-Kostheim (55246);Siedlung Kostheim,  Mainz-Kostheim (55246);
229;Siedlung Kostheim; Mainz-Kostheim (55246);Siedlung Kostheim,  Mainz-Kostheim (55246);
230;Heidestock; Wiesbaden (65191);Heidestock,  Wiesbaden (65191);3.5296
231;Heidestock; Wiesbaden (65191);Heidestock,  Wiesbaden (65191);3.5296
232;Nordenstadt - West; Wiesbaden (65205);Nordenstadt - West,  Wiesbaden (65205);
233;Lessingstrasse; Wiesbaden (65189);Lessingstrasse,  Wiesbaden (65189);3.4546
234;Riederbergstrasse; Wiesbaden (65193);Riederbergstrasse,  Wiesbaden (65193);3.4389
235;Naurod; Wiesbaden (65207);Naurod,  Wiesbaden (65207);3.6559
236;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);3.3617
237;Riederbergstrasse; Wiesbaden (65195);Riederbergstrasse,  Wiesbaden (65195);3.439
238;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);3.3617
239;Klagenfurter Ring 6; Wiesbaden (65187);Klagenfurter Ring 6,  Wiesbaden (65187);3.3629
240;Komponistenviertel; Wiesbaden (65193);Komponistenviertel,  Wiesbaden (65193);
241;Komponistenviertel; Wiesbaden (65193);Komponistenviertel,  Wiesbaden (65193);
242;Sonnenberg - Mitte; Wiesbaden (65193);Sonnenberg - Mitte,  Wiesbaden (65193);
